ano,mes,sigla_uf,admitidos_desligados,tipo_estabelecimento,tipo_movimentacao_desagregado,faixa_emprego_inicio_janeiro,quantidade_horas_contratadas,salario_mensal,indicador_aprendiz,indicador_portador_deficiencia,cbo_2002,grau_instrucao,idade,sexo,raca_cor,previsao
2019,6,AM,1,1,2,6,44,1020.0,0,0,5,6,39,1,8.0,1
2019,4,AM,1,1,2,5,44,1241.0,0,0,5,7,32,0,8.0,1
2019,9,AM,1,1,2,3,44,998.0,0,0,8,5,43,1,8.0,1
2018,3,AM,1,1,2,3,44,1822.0,0,0,4,8,40,0,8.0,1
2018,4,AM,1,1,2,8,44,980.0,0,0,5,7,42,1,8.0,1
2019,6,AM,1,1,2,3,44,998.0,0,0,5,7,29,1,2.0,1
2019,7,AM,1,1,2,8,44,7145.0,0,0,2,9,25,1,8.0,1
2019,9,AM,1,1,2,4,31,1571.0,0,0,5,7,26,1,8.0,1
2018,11,AM,0,1,4,8,44,1427.0,0,0,7,7,45,1,8.0,0
2018,3,AM,0,1,4,6,44,1319.0,0,0,4,7,34,1,9.0,0
2018,8,AM,0,1,4,4,44,1047.0,0,0,5,6,25,1,8.0,0
2019,2,AM,0,1,4,5,44,998.0,0,0,7,7,31,1,8.0,0
2019,6,AM,0,1,4,7,44,1580.0,0,0,4,7,33,0,8.0,0
2018,8,AM,0,1,4,7,44,1300.0,0,0,7,7,27,1,8.0,0
2019,5,AM,0,1,4,3,44,1077.0,0,0,5,7,52,0,8.0,0
2019,9,AM,0,1,4,3,42,7914.0,0,0,2,9,50,0,8.0,0
2018,6,AM,0,1,4,4,44,1116.0,0,0,5,7,24,1,8.0,0
2018,4,AM,0,1,4,4,44,1383.0,0,0,7,5,51,1,8.0,0
2019,10,AM,0,1,4,3,44,1130.0,0,0,5,7,24,1,8.0,0
2018,6,AM,0,1,4,5,44,1918.0,0,0,8,7,37,1,8.0,0
2019,2,AM,0,1,4,1,44,0.0,0,0,7,7,52,1,8.0,0
2018,10,AM,0,1,4,4,44,1912.0,0,0,7,7,41,1,9.0,0
2018,7,AM,0,1,4,7,44,1434.0,0,0,7,7,24,1,4.0,0
2019,12,AM,0,1,4,7,44,1421.0,0,0,5,8,33,1,8.0,0
2019,8,AM,0,1,4,2,44,1000.0,0,0,5,7,19,1,9.0,0
2018,8,AM,0,1,4,9,44,1190.0,0,0,5,6,37,1,8.0,0
2019,3,AM,0,1,4,9,30,11093.0,0,0,2,9,57,1,8.0,0
2018,8,AM,0,1,4,5,44,1600.0,0,0,2,7,27,1,8.0,0
2018,8,AM,0,1,4,2,44,2022.0,0,0,4,7,42,0,8.0,0
2018,10,AM,0,1,4,8,44,1309.0,0,0,7,7,25,1,8.0,0
2019,2,AM,0,1,4,6,44,1373.0,0,0,7,7,33,1,9.0,0
2019,12,AM,0,1,4,7,44,1493.0,0,0,4,7,23,1,8.0,0
2019,9,AM,0,1,4,6,44,1210.0,0,0,7,3,29,1,8.0,0
2018,7,AM,0,1,4,5,44,1050.0,0,0,5,4,38,0,8.0,0
2018,7,AM,0,1,4,5,44,1295.0,0,0,5,2,30,1,8.0,0
2018,8,AM,0,1,4,8,44,1280.0,0,0,7,7,46,1,8.0,0
2019,3,AM,0,1,4,5,44,4238.0,0,0,3,7,56,1,8.0,0
2018,10,AM,0,1,4,5,44,1311.0,0,0,5,7,35,1,8.0,0
2018,10,AM,0,1,4,4,44,980.0,0,0,9,7,41,0,8.0,0
2019,3,AM,0,1,4,4,44,1050.0,0,0,4,7,28,0,8.0,0
2019,3,AM,0,1,4,3,44,1090.0,0,0,5,8,20,0,2.0,0
2019,6,AM,0,1,4,2,44,1050.0,0,0,5,7,37,1,8.0,0
2018,1,AM,0,1,4,8,44,974.0,0,0,7,7,23,1,1.0,0
2019,9,AM,0,1,4,1,44,1062.0,0,0,5,7,22,1,8.0,0
2019,1,AM,0,1,4,8,44,1337.0,0,0,7,7,19,0,8.0,0
2018,3,AM,0,1,4,7,44,1112.0,0,0,7,7,41,0,8.0,0
2018,9,AM,0,1,4,8,44,1399.0,0,1,7,7,40,0,8.0,0
2019,3,AM,0,1,4,1,44,1057.0,0,0,7,4,36,1,8.0,0
2018,10,AM,0,1,4,3,44,1309.0,0,0,7,7,40,1,4.0,0
2018,4,AM,0,1,4,6,44,1964.0,0,0,5,7,39,0,8.0,0
2018,7,AM,0,1,4,7,44,1300.0,0,0,7,7,34,1,8.0,0
2019,8,AM,0,1,4,4,44,2642.0,0,0,5,8,59,1,8.0,0
2018,12,AM,0,1,5,8,44,1090.0,0,0,5,4,24,1,8.0,0
2019,9,AM,0,1,6,4,44,1090.0,0,0,5,7,28,0,8.0,0
2019,5,AM,0,1,6,9,44,1246.0,0,0,5,7,33,1,2.0,0
2018,5,AM,0,1,6,8,44,970.0,0,0,5,9,32,1,8.0,0
2018,12,AM,0,1,6,9,44,1272.0,0,0,7,7,22,0,8.0,0
2019,9,AM,0,1,6,6,44,1081.0,0,0,5,7,42,1,2.0,0
2018,1,AM,0,1,6,8,44,952.0,0,0,7,7,53,1,8.0,0
2018,10,AM,0,1,6,5,44,1478.0,0,0,7,7,31,1,8.0,0
2018,8,AM,0,1,6,1,44,1350.0,0,0,4,7,42,1,9.0,0
